user_id,sex,age,physical_activity_level,weight,height,body_fat,bmi,bmr,total_points
50,Male,23.0,1.0,86.0,183.0,18.0,,,200
15,Female,24.0,3.0,68.0,173.0,,,,0
5,Female,57.0,0.0,80.0,160.0,,,,0
7,Male,24.0,2.0,69.0,174.0,,,,0
20,Male,36.0,2.0,80.0,177.0,23.0,,,0
21,Female,29.0,2.0,54.0,168.0,,,,0
55,Male,26.0,2.0,69.0,177.0,10.0,,,0
41,Male,37.0,2.0,80.0,185.0,17.0,,,0
9,Male,25.0,1.0,62.0,185.0,,,,0
46,other,18.0,0.0,40.0,100.0,,,,4
11,Male,41.0,1.0,86.0,187.0,,,,0
12,Female,32.0,3.0,68.0,176.0,,,,19
3,Female,25.0,2.0,65.0,170.0,,,,0
75,Transgender,30.0,2.0,70.0,180.0,20.0,,,0
4,Female,29.0,2.0,50.0,163.0,9.0,,,60
29,Male,25.0,1.0,78.0,177.0,,,,0
43,Male,29.0,2.0,80.0,180.0,20.0,,,0
52,Male,27.0,2.0,91.0,172.0,,,,0
47,Male,26.0,0.0,108.0,180.0,33.0,,,0
23,Male,24.0,2.0,70.0,170.0,16.0,,,0
51,Male,24.0,2.0,72.0,179.0,16.0,,,0
33,Male,33.0,4.0,84.0,184.0,30.0,,,0
17,Male,25.0,2.0,75.0,180.0,,,,0
34,Male,24.0,3.0,80.0,176.0,15.0,,,0
56,Male,18.0,3.0,50.0,5000.0,20.0,,,0
35,Male,32.0,2.0,65.0,165.0,20.0,,,0
1,Male,27.0,2.0,71.0,178.0,,,,0
25,Male,25.0,1.0,68.0,174.0,,,,0
59,Male,37.0,2.0,80.0,175.0,21.0,,,0
26,,,,,,,,,0
36,Male,27.0,3.0,66.0,170.0,12.0,,,0
27,Male,26.0,2.0,70.0,177.0,15.0,,,0
6,Female,25.0,2.0,64.0,163.0,,,,250
30,Male,32.0,2.0,80.0,175.0,22.0,,,0
31,Male,26.0,2.0,74.0,175.0,22.0,,,0
32,Female,23.0,1.0,65.0,163.0,,,,0
38,Male,30.0,2.0,78.0,178.0,19.0,,,0
68,Female,56.0,2.0,78.0,170.0,,,,0
37,Male,27.0,2.0,65.0,170.0,12.0,,,0
28,Male,26.0,1.0,95.0,190.0,60.0,,,0
39,Female,28.0,2.0,51.0,158.0,,,,0
16,Female,26.0,2.0,69.0,171.0,20.0,,,210
53,Male,24.0,3.0,60.0,170.0,20.0,,,0
40,Female,24.0,0.0,58.0,160.0,,,,20
45,Male,25.0,2.0,110.0,178.0,30.0,,,0
14,Female,38.0,2.0,68.0,176.0,,,,360
57,Male,20.0,2.0,68.0,100.0,100.0,,,0
18,Male,23.0,1.0,102.0,179.0,,,,160
54,Male,28.0,2.0,55.0,172.0,7.0,,,0
63,Male,25.0,2.0,65.0,183.0,,,,0
49,Male,26.0,2.0,78.0,190.0,15.0,,,0
58,Female,24.0,2.0,55.0,165.0,23.0,,,0
60,Male,25.0,2.0,80.0,170.0,18.0,,,199
64,Female,26.0,2.0,70.0,164.0,25.0,,,0
65,Male,27.0,2.0,81.0,171.0,,,,0
66,Female,22.0,2.0,55.0,160.0,20.0,,,0
67,Male,26.0,1.0,92.0,183.0,25.0,,,0
19,Male,25.0,2.0,75.0,181.0,20.0,,,0
44,Female,24.0,2.0,59.0,170.0,,,,20
69,Male,26.0,2.0,100.0,180.0,19.0,,,0
48,Male,25.0,1.0,56.0,183.0,9.0,,,110
8,Female,35.0,1.0,60.0,176.0,,,,398
24,Female,25.0,2.0,64.0,160.0,,,,69
71,Male,31.0,2.0,67.0,176.0,,,,0
70,Male,24.0,2.0,71.0,175.0,10.0,,,130
61,Male,25.0,2.0,80.0,173.0,14.0,,,0
22,Female,28.0,1.0,63.0,155.0,,,,50
77,Female,25.0,2.0,64.0,163.0,,,,0
78,,,,,,,,,0
79,Male,27.0,1.0,107.0,180.0,35.0,,,0
80,,,,,,,,,0
72,Male,72.0,2.0,86.0,178.0,,,,0
73,Male,24.0,2.0,80.0,164.0,15.0,,,0
98,Transgender,18.0,2.0,40.0,100.0,1.0,,,0
99,,,,,,,,,0
114,Female,23.0,2.0,47.0,163.0,1.0,,,0
100,Transgender,32.0,2.0,400.0,100.0,,,,1
101,Female,26.0,2.0,60.0,175.0,,,,0
76,Male,28.0,2.0,107.0,180.0,40.0,,,0
135,Male,27.0,3.0,81.0,184.0,11.0,,,0
115,Female,27.0,2.0,73.0,164.0,,,,0
103,Female,27.0,2.0,48.0,164.0,3.0,,,0
117,Female,31.0,2.0,60.0,167.0,15.0,,,0
105,Male,26.0,3.0,70.0,168.0,11.0,,,0
127,Male,28.0,2.0,95.0,190.0,16.0,,,0
118,Female,27.0,2.0,64.0,165.0,28.0,,,0
102,Male,27.0,3.0,72.0,173.0,16.0,,,50
107,Male,26.0,3.0,71.0,173.0,16.0,,,0
109,Female,28.0,2.0,59.0,163.0,15.0,,,0
136,Male,26.0,3.0,99.0,174.0,18.0,,,30
133,Male,25.0,2.0,65.0,172.0,,,,0
137,Male,30.0,2.0,89.0,180.0,2.0,,,0
108,Male,40.0,1.0,70.0,168.0,4.0,,,220
111,Male,30.0,2.0,73.0,176.0,,,,0
130,Female,29.0,2.0,64.0,166.0,4.0,,,0
120,Male,34.0,1.0,77.0,177.0,,,,219
74,Male,24.0,2.0,69.0,174.0,,,,29
110,Male,36.0,1.0,78.0,177.0,,,,209
112,Male,34.0,2.0,77.0,175.0,,,,0
121,Male,23.0,3.0,78.0,180.0,15.0,,,0
123,Male,23.0,1.0,70.0,180.0,10.0,,,0
125,Male,30.0,3.0,63.0,175.0,15.0,,,0
132,Male,29.0,2.0,72.0,172.0,14.0,,,0
126,Male,26.0,2.0,99.0,175.0,30.0,,,0
129,Female,30.0,4.0,50.0,163.0,,,,0
81,,,,,,,,,0
82,,,,,,,,,0
116,Female,26.0,2.0,58.0,170.0,3.0,,,0
119,Female,26.0,2.0,72.0,164.0,20.0,,,0
85,Male,118.0,1.0,80.0,100.0,12.0,,,0
86,Male,22.0,1.0,222.0,122.0,22.0,,,0
113,Male,38.0,1.0,78.0,173.0,,,,0
87,Female,33.0,1.0,55.0,100.0,44.0,,,0
83,Male,26.0,0.0,55.0,150.0,100.0,,,0
122,Male,26.0,2.0,85.0,174.0,17.0,,,0
124,Male,29.0,0.0,90.0,168.0,20.0,,,0
88,,,,,,,,,0
89,Male,55.0,2.0,45.0,100.0,46.0,,,0
90,Female,44.0,1.0,44.0,155.0,44.0,,,0
91,Male,43.0,0.0,134.0,123.0,17.0,,,0
92,Male,24.0,1.0,45.0,123.0,12.0,,,0
128,Male,29.0,1.0,68.0,175.0,8.0,,,0
131,Male,25.0,2.0,70.0,174.0,,,,0
13,Female,25.0,2.0,80.0,174.0,,,,0
93,,,,,,,,,0
94,Male,34.0,0.0,355.0,100.0,6.0,,,0
95,Male,20.0,1.0,42.0,199.0,1.0,,,0
96,Male,18.0,0.0,40.0,100.0,1.0,,,0
134,Male,24.0,3.0,76.0,176.0,14.0,,,20
106,Male,26.0,3.0,75.0,170.0,15.0,,,40
97,Female,18.0,0.0,40.0,100.0,1.0,,,0
84,Non-binary,19.0,1.0,55.0,100.0,100.0,,,0
104,Male,26.0,2.0,91.0,185.0,10.0,,,0
